model,train_grid,test_grid,unseen,nrmse,nrmse_P,nrmse_Q,nrmse_V,nrmse_theta
gcn,IEEE24,IEEE24,False,0.043755773454904556,0.02633153460919857,0.04279422387480736,0.9747471213340759,0.07986955344676971
gcn,IEEE24,IEEE39,True,0.12222805619239807,0.07808642089366913,0.09996896237134933,2.2530088424682617,0.4442889094352722
gcn,IEEE24,IEEE118,True,0.10307898372411728,0.06945636123418808,0.06642068177461624,0.33233389258384705,0.6416289210319519
gcn,IEEE24,UK,True,0.14715376496315002,0.08875975012779236,0.1265411525964737,82.23310852050781,1.9723316431045532
gcn,IEEE39,IEEE24,True,0.17302891612052917,0.10053291916847229,0.18626928329467773,1.7331914901733398,0.23950336873531342
gcn,IEEE39,IEEE39,False,0.05099206045269966,0.03257604315876961,0.042943038046360016,1.1045042276382446,0.07210499048233032
gcn,IEEE39,IEEE118,True,0.11487216502428055,0.0777469202876091,0.0734192281961441,3.734067916870117,0.6898453831672668
gcn,IEEE39,UK,True,0.14465013146400452,0.08961723744869232,0.1106424331665039,124.10492706298828,1.0023117065429688
gcn,IEEE118,IEEE24,True,1.2023277282714844,0.11016243696212769,2.093416929244995,39.899330139160156,7.928191661834717
gcn,IEEE118,IEEE39,True,1.1875680685043335,0.09287428110837936,1.3920756578445435,24.262414932250977,8.363014221191406
gcn,IEEE118,IEEE118,False,0.010486768558621407,0.004360707942396402,0.012597165070474148,0.3651060163974762,0.07135559618473053
gcn,IEEE118,UK,True,1.301073431968689,0.09234338998794556,2.4522926807403564,1340.7843017578125,60.612953186035156
gcn,UK,IEEE24,True,0.61091548204422,0.3548738956451416,0.6645564436912537,18.095521926879883,0.294861763715744
gcn,UK,IEEE39,True,0.2539004981517792,0.19685593247413635,0.14064209163188934,34.37063980102539,0.37949445843696594
gcn,UK,IEEE118,True,0.3177982568740845,0.15067929029464722,0.37387844920158386,7.6254730224609375,0.5765784382820129
gcn,UK,UK,False,0.010985532775521278,0.005635168869048357,0.013938714750111103,16.97018814086914,0.0954708382487297
arma_gnn,IEEE24,IEEE24,False,0.14663918316364288,0.09590941667556763,0.10444735735654831,4.231155872344971,0.10482750833034515
arma_gnn,IEEE24,IEEE39,True,0.13337349891662598,0.08899854123592377,0.10536787658929825,6.5112457275390625,0.27268585562705994
arma_gnn,IEEE24,IEEE118,True,0.1026422530412674,0.06950803101062775,0.06737089157104492,2.531116247177124,0.5466132760047913
arma_gnn,IEEE24,UK,True,0.14556699991226196,0.08921455591917038,0.11651817709207535,241.3983917236328,1.8726638555526733
arma_gnn,IEEE39,IEEE24,True,0.15876595675945282,0.10134889930486679,0.1283024102449417,2.5444252490997314,0.14946822822093964
arma_gnn,IEEE39,IEEE39,False,0.009628674946725368,0.003205727320164442,0.010805556550621986,0.5975577235221863,0.043985310941934586
arma_gnn,IEEE39,IEEE118,True,0.10134521871805191,0.06885912269353867,0.06586635112762451,2.188890218734741,0.5303354859352112
arma_gnn,IEEE39,UK,True,0.1460917592048645,0.0899277999997139,0.11419745534658432,47.03472900390625,1.9543728828430176
arma_gnn,IEEE118,IEEE24,True,2.716492176055908,0.8032246828079224,4.607363224029541,35.46775436401367,9.505303382873535
arma_gnn,IEEE118,IEEE39,True,2.8066768646240234,0.18001803755760193,3.4481444358825684,46.51695251464844,10.144347190856934
arma_gnn,IEEE118,IEEE118,False,0.00418032705783844,0.001373913837596774,0.0054205358028411865,0.34947913885116577,0.028864065185189247
arma_gnn,IEEE118,UK,True,1.2829052209854126,0.41103610396385193,2.0407607555389404,1040.9532470703125,78.35604858398438
arma_gnn,UK,IEEE24,True,0.1468845009803772,0.09384521096944809,0.11645039916038513,22.78076934814453,0.2187970131635666
arma_gnn,UK,IEEE39,True,0.08119646459817886,0.047448497265577316,0.07004647701978683,51.74041748046875,0.43531885743141174
arma_gnn,UK,IEEE118,True,0.10230975598096848,0.0692608430981636,0.06729628145694733,5.140064239501953,0.5424964427947998
arma_gnn,UK,UK,False,0.005553525872528553,0.0019467459060251713,0.009296066127717495,21.138410568237305,0.05467774346470833
gat,IEEE24,IEEE24,False,0.028071850538253784,0.01607452519237995,0.030918238684535027,1.1487274169921875,0.050236526876688004
gat,IEEE24,IEEE39,True,0.13771438598632812,0.09105078130960464,0.1100374385714531,10.314362525939941,0.3046515882015228
gat,IEEE24,IEEE118,True,0.10291559994220734,0.06959955394268036,0.06831319630146027,3.4081475734710693,0.5318877696990967
gat,IEEE24,UK,True,0.14678262174129486,0.09063209593296051,0.11412229388952255,291.9633483886719,1.2178921699523926
gat,IEEE39,IEEE24,True,0.21951857209205627,0.1002553179860115,0.3176146447658539,3.034529447555542,0.423900306224823
gat,IEEE39,IEEE39,False,0.02340976521372795,0.011346094310283661,0.023767603561282158,0.8701066374778748,0.08347852528095245
gat,IEEE39,IEEE118,True,0.103049635887146,0.06959398090839386,0.06773215532302856,1.9199718236923218,0.5732594132423401
gat,IEEE39,UK,True,0.16338977217674255,0.08965042233467102,0.18177559971809387,208.6561279296875,3.5698797702789307
gat,IEEE118,IEEE24,True,0.37837710976600647,0.10470274835824966,0.5816183090209961,13.908415794372559,2.8096232414245605
gat,IEEE118,IEEE39,True,0.2984158992767334,0.09150558710098267,0.1651371717453003,33.856300354003906,5.135316371917725
gat,IEEE118,IEEE118,False,0.014664540998637676,0.005183180794119835,0.01881457306444645,1.2125396728515625,0.09132229536771774
gat,IEEE118,UK,True,0.3210587799549103,0.09607011079788208,0.5378783345222473,933.4352416992188,15.672796249389648
gat,UK,IEEE24,True,0.15413886308670044,0.1024131253361702,0.09572300314903259,5.350724697113037,0.2152079939842224
gat,UK,IEEE39,True,0.1354878842830658,0.08949935436248779,0.10677500069141388,4.625943183898926,0.43285349011421204
gat,UK,IEEE118,True,0.10219541937112808,0.06930192559957504,0.0665942057967186,2.5424041748046875,0.5484912991523743
gat,UK,UK,False,0.008583144284784794,0.002809789963066578,0.014661668799817562,62.46511459350586,0.13341370224952698
gin,IEEE24,IEEE24,False,0.011048507876694202,0.0016089612618088722,0.02006233111023903,0.8646065592765808,0.04611882567405701
gin,IEEE24,IEEE39,True,0.13784164190292358,0.0889177918434143,0.11317946761846542,4.047211647033691,0.36807823181152344
gin,IEEE24,IEEE118,True,0.10212422907352448,0.06968888640403748,0.0643366277217865,1.5373554229736328,0.5661648511886597
gin,IEEE24,UK,True,0.2787967920303345,0.0898849368095398,0.47191566228866577,763.5919189453125,8.363898277282715
gin,IEEE39,IEEE24,True,0.2374991625547409,0.10167485475540161,0.2910197377204895,11.045849800109863,1.839765191078186
gin,IEEE39,IEEE39,False,0.015528043732047081,0.0019820393063127995,0.018927590921521187,1.2778520584106445,0.05498136952519417
gin,IEEE39,IEEE118,True,0.10511685907840729,0.06949231028556824,0.06869667023420334,5.394283294677734,0.7807608246803284
gin,IEEE39,UK,True,0.689875602722168,0.09097706526517868,0.24223530292510986,4161.328125,118.24273681640625
gin,IEEE118,IEEE24,True,9.555671691894531,0.32083505392074585,18.337247848510742,352.2100830078125,6.195639133453369
gin,IEEE118,IEEE39,True,2.7391138076782227,0.3581899404525757,3.385075807571411,52.99394989013672,2.0204997062683105
gin,IEEE118,IEEE118,False,0.00860754307359457,0.0032527316361665726,0.010052811354398727,0.8229750394821167,0.08913997560739517
gin,IEEE118,UK,True,26.838390350341797,2.450084686279297,52.20109176635742,41147.26953125,196.23226928710938
gin,UK,IEEE24,True,0.7064916491508484,0.1010347306728363,1.3299849033355713,28.059083938598633,0.15957608819007874
gin,UK,IEEE39,True,0.1673293262720108,0.07966741919517517,0.17151115834712982,177.49635314941406,0.41464588046073914
gin,UK,IEEE118,True,0.7116098403930664,0.17848360538482666,1.0056891441345215,96.19381713867188,0.6454346776008606
gin,UK,UK,False,0.005721633322536945,0.002596571110188961,0.008271679282188416,28.032503128051758,0.06570979952812195
transformer,IEEE24,IEEE24,False,0.011443081311881542,0.0012456024996936321,0.021127885207533836,0.8751924633979797,0.04340532049536705
transformer,IEEE24,IEEE39,True,0.14517371356487274,0.08885610103607178,0.12578625977039337,3.808865547180176,0.45516130328178406
transformer,IEEE24,IEEE118,True,0.10244818776845932,0.0695083811879158,0.06740777939558029,2.8428642749786377,0.5184962749481201
transformer,IEEE24,UK,True,0.09960903227329254,0.0574360117316246,0.09372527152299881,232.0288543701172,3.4077653884887695
transformer,IEEE39,IEEE24,True,0.16060827672481537,0.10165280103683472,0.11706758290529251,4.1719231605529785,0.5873561501502991
transformer,IEEE39,IEEE39,False,0.01618490368127823,0.0034456721041351557,0.019290603697299957,0.8944899439811707,0.06035376340150833
transformer,IEEE39,IEEE118,True,0.10252789407968521,0.06939522176980972,0.06703411787748337,2.0203466415405273,0.561385989189148
transformer,IEEE39,UK,True,0.14897958934307098,0.08979775756597519,0.12738265097141266,87.54489135742188,2.510721206665039
transformer,IEEE118,IEEE24,True,2.47052264213562,0.10303531587123871,4.733252048492432,3.306391477584839,2.4116365909576416
transformer,IEEE118,IEEE39,True,2.2358944416046143,0.08973121643066406,2.7895989418029785,11.013551712036133,2.5904269218444824
transformer,IEEE118,IEEE118,False,0.0049422308802604675,0.001528208958916366,0.006262768059968948,0.5015864372253418,0.04596070945262909
transformer,IEEE118,UK,True,2.923896551132202,0.27301380038261414,5.679819583892822,189.68162536621094,29.985980987548828
transformer,UK,IEEE24,True,0.195193812251091,0.12000569701194763,0.18191510438919067,10.451606750488281,0.21130189299583435
transformer,UK,IEEE39,True,0.13969123363494873,0.09176567941904068,0.11186648160219193,13.50677490234375,0.3777884840965271
transformer,UK,IEEE118,True,0.10831208527088165,0.07539830356836319,0.06328242272138596,2.696946859359741,0.5509804487228394
transformer,UK,UK,False,0.008321711793541908,0.002742014592513442,0.01416904479265213,82.87116241455078,0.14315970242023468
nnconv,IEEE24,IEEE24,False,0.012093906290829182,0.0017456244677305222,0.02209664322435856,1.3889439105987549,0.04629114270210266
nnconv,IEEE24,IEEE39,True,0.23408423364162445,0.08897994458675385,0.23304791748523712,38.995269775390625,2.040593147277832
nnconv,IEEE24,IEEE118,True,0.1016910970211029,0.06940484791994095,0.06521635502576828,3.893803834915161,0.5181635022163391
nnconv,IEEE24,UK,True,0.1488351672887802,0.09071548283100128,0.11693281680345535,475.6498107910156,3.7790331840515137
nnconv,IEEE39,IEEE24,True,0.15821398794651031,0.10270456969738007,0.10978072136640549,22.72081756591797,0.3795633018016815
nnconv,IEEE39,IEEE39,False,0.022936655208468437,0.011305238120257854,0.02328888699412346,1.6321650743484497,0.0648951455950737
nnconv,IEEE39,IEEE118,True,0.1033066064119339,0.069886215031147,0.06671177595853806,5.153566360473633,0.6011943221092224
nnconv,IEEE39,UK,True,0.14796291291713715,0.08996496349573135,0.12345191091299057,258.96038818359375,1.6540013551712036
nnconv,IEEE118,IEEE24,True,1.5067144632339478,0.10392085462808609,1.9295278787612915,61.874515533447266,18.194440841674805
nnconv,IEEE118,IEEE39,True,17.1420955657959,1.8628178834915161,21.264339447021484,35.99100112915039,10.911274909973145
nnconv,IEEE118,IEEE118,False,0.0060040769167244434,0.0019211104372516274,0.007897082716226578,0.1985367387533188,0.03746313229203224
nnconv,IEEE118,UK,True,2.2637887001037598,0.10268275439739227,4.2681379318237305,1141.3656005859375,109.98538208007812
nnconv,UK,IEEE24,True,0.3364464044570923,0.10494857281446457,0.5776156783103943,64.93294525146484,0.4445843994617462
nnconv,UK,IEEE39,True,0.6876513957977295,0.5753887295722961,0.2254098504781723,53.821693420410156,0.48892033100128174
nnconv,UK,IEEE118,True,0.10679084062576294,0.06965196132659912,0.07994306087493896,4.819192886352539,0.5509845018386841
nnconv,UK,UK,False,0.011062783189117908,0.006081707309931517,0.012532672844827175,39.444461822509766,0.05220848694443703
